,tubule_diameters,tubule_sizes,tubule_distance_to_closest_instance
st48046,26.24,1008.04,8.02
st48047,49.12,3770.53,0.34
st48048,23.02,579.01,1.01
st48049,32.71,2786.48,1.22
st48050,41.02,3523.32,8.75
st48051,14.31,374.56,0.34
st48052,45.27,2994,1.82
st48053,53.36,3565.85,0.34
st48054,50.77,3180.71,0.34
st48055,24.21,1040.79,0.34
st48056,32.06,2271.94,1.01
st48057,48.56,8050.48,2.02
st48058,11.93,331.24,0.34
st48059,32.27,3230.97,6.2
st48060,18.65,619.5,2.43
st48061,31.03,1359.86,3.93
st48062,33.21,1808.23,0.34
st48063,38.04,2033.94,4.05
st48064,43.29,5419.22,5.73
st48065,25.35,861.81,0.34
st48066,45.23,5554.08,1.69
st48067,18,508.85,0.34
st48068,20.29,455.98,2.16
st48069,31.38,2518.92,0.75
st48070,38.08,3373.11,0.34
st48071,26.98,1778.89,0.75
st48072,48.56,4662.13,0.34
st48073,35.97,2451.49,4.05
st48074,46.18,3327.85,1.35
st48075,44.41,2703.58,6.2
st48076,12.4,176.02,0.34
st48077,37.15,1645.96,1.22
st48078,19.32,737.64,0.34
st48079,46.46,3976.35,1.35
st48080,36.3,2943.85,4.38
st48081,22.12,618.93,3.58
st48082,24.76,1543.62,0.34
st48083,29.96,7174.34,1.69
st48084,48.56,4362.51,2.02
st48085,19.97,555.02,0.34
st48086,40.12,2625.12,5.56
st48087,42.85,4841.57,1.43
st48088,41.9,2784.77,0.34
st48089,40.67,3992.49,1.91
st48090,29.03,3592.69,1.69
st48091,40.34,1803.68,0.34
st48092,35.74,1975.84,0.34
st48093,29.07,1245.7,1.22
st48094,13.09,394.58,0.34
st48095,14.31,400.94,0.95
st48096,17.07,357.73,0.34
st48097,23.26,634.85,0.34
st48098,18.6,490.32,6.94
st48099,30.5,1081.84,0.34
st48100,15.16,510.56,0.34
st48101,12.01,194.22,10.66
st48102,10.98,258.01,7.65
st48103,16.19,255.85,7.4
st48104,31.99,3562.44,5.16
st48105,14.79,254.14,18.49
st48106,14.53,240.04,2.86
st48107,16.9,370.47,0.34
st48108,27.98,1155.07,0.34
st48109,9.05,234.24,6.41
st48110,23.6,1096.4,6.22
st48111,14.16,226.85,14.03
st48112,19.6,438.24,9.3
st48113,10.29,373.99,11.48
st48114,34.19,3115.56,5.8
st48115,14.59,302.58,14.09
st48116,12.6,254.48,9.3
st48117,39.24,4809.96,2.36
st48118,22.42,1050.34,6.22
st48119,18.35,564.8,16.29
st48120,26.71,699.89,0.34
st48121,14.18,198.99,0.34
st48122,24.87,926.74,11.48
st48123,40.12,3847.28,7.42
st48124,14.34,529.78,12.72
st48125,17.59,357.05,0.75
st48126,19.46,515,1.22
st48127,36.15,2982.4,18.7
st48128,16.3,309.18,2.45
st48129,28.05,987.35,0.75
st48130,19.09,645.31,15.07
st48131,25.91,1314.95,7.84
st48132,44.58,4365.8,1.51
st48133,23.64,792.11,2.45
st48134,35.9,1941.72,3.18
st48135,36.51,2961.93,1.51
st48136,19.6,476.11,23.61
st48137,21.97,778.69,6.08
st48138,18.65,517.16,4.59
st48139,16.66,300.65,14.91
st48140,29.38,1251.61,4.52
st48141,21.18,663.27,3.71
st48142,29.67,917.3,5.89
st48143,13.9,452.34,3.18
st48144,16.66,456.32,10.98
st48145,27.14,1047.27,4.52
st48146,47.44,5600.93,3.02
st48147,72.78,16321.22,3.47
st48148,46.79,5159.16,3.11
st48149,22.82,1012.14,9.54
st48150,33.18,1740.23,2.63
st48151,19.93,388.66,3.63
st48152,33.07,2216.9,6.08
st48153,27.39,1538.73,10.32
st48154,30.05,1729.65,0.34
st48155,28.18,1832.9,0.34
st48156,24.44,669.87,3.47
st48157,42.62,5543.05,3.84
st48158,44.17,5800.38,3.84
st48159,22.26,576.06,1.35
st48160,34.97,1456.63,6.94
st48161,47.62,3539.81,0.75
st48162,21.94,584.7,0.34
st48163,8.77,185.35,0.34
st48164,18,362.62,1.69
st48165,41.51,5032.94,3.77
st48166,14.48,256.42,0.75
st48167,30.35,3163.66,4.59
st48168,20.21,444.04,17.27
st48169,27.39,1012.48,0.34
st48170,12.81,305.54,0.34
st48171,23.6,601.19,15.98
st48172,40.04,3829.09,1.69
st48173,61.31,6588.62,2.38
st48174,26.45,3695.59,1.69
st48175,31.61,3989.99,8.15
st48176,15.38,539.56,33.81
st48177,13.44,287.12,0.34
st48178,52.18,6827.87,0.34
st48179,39.03,3795.89,0.34
st48180,19.29,500.78,16.77
st48181,17.81,361.71,6.83
st48182,29.93,823.72,7.09
st48183,21.33,682.6,0.34
st48184,14.31,393.32,4.17
st48185,26.6,1999.37,3.11
st48186,44.46,2742.13,3.18
st48187,40.24,2164.48,2.38
st48188,18.41,334.65,8.53
st48189,37.04,2084.88,4.23
st48190,31.95,1937.17,0.34
st48191,14.73,417.55,14.93
st48192,17.81,695.91,1.35
st48193,20.41,837.93,4.23
st48194,15.08,431.76,3.18
st48195,23.38,837.71,7.24
st48196,33.07,2078.63,14.55
st48197,17.65,691.25,10.53
st48198,41.93,1975.49,0.34
st48199,7.29,222.53,0.34
st48200,42.01,4828.15,2.26
st48201,15.51,782.44,10.53
st48202,14.31,332.72,1.97
st48203,35.54,2058.62,3.84
st48204,18.81,381.27,22.89
st48205,23.56,650.99,2.86
st48206,39.68,5095.94,1.39
st48207,22.42,1364.75,14.5
st48208,46.27,4010.12,2.26
st48209,47.88,5056.48,1.91
st48210,32.69,980.19,3.11
st48211,15.69,409.13,0.34
st48212,10.98,202.63,5.76
st48213,28.68,1134.72,0.75
st48214,35.07,1468.91,2.86
st48215,39.12,3160.7,2.86
st48216,28.96,897.63,2.26
st48217,16.31,286.21,5.49
st48218,13.25,245.73,2.45
st48219,20.39,702.16,0.75
st48220,24.7,611.65,3.02
st48221,46.46,4312.47,2.9
st48222,25.59,1838.13,3.02
st48223,25.63,1452.65,5.07
st48224,21.3,1033.06,2.45
st48225,17.51,455.07,0.34
st48226,21.12,692.16,2.63
st48227,19.64,543.31,8.43
st48228,47.69,3677.74,2.78
st48229,43.4,3906.64,1.22
st48230,53.09,3589.39,2.13
st48231,48.62,4731.16,1.22
st48232,18.7,576.17,6.68
st48233,26.98,859.2,0.34
st48234,45.51,3741.31,2.9
st48235,20.78,464.05,8.2
st48236,58.66,8430.28,0.95
st48237,9.82,212.75,20.08
st48238,30.12,838.16,4.07
st48239,39.03,1649.94,9.55
st48240,22.82,566.96,10.26
st48241,28.96,747.99,5.49
st48242,15.74,367.63,2.78
st48243,38.84,2379.85,2.02
st48244,23.95,615.29,5.28
st48245,32.63,1680.19,2.45
st48246,15.38,234.7,21.22
st48247,29.63,1042.5,2.02
st48248,28.45,1280.49,5.56
st48249,13.49,316.23,0.34
st48250,35.71,1615.49,2.36
st48251,21.42,585.5,5.58
st48252,16.7,397.65,2.86
st48253,28.53,782.22,5.49
st48254,43.88,3714.7,4.38
st48255,42.57,6083.63,10.26
st48256,29.71,1082.98,8.29
st48257,32.21,1102.54,5.41
st48258,31.7,1480.51,5.06
st48259,20.39,1756.37,9.39
st48260,51.3,6109.67,0.95
st48261,18.1,337.27,11.86
st48262,36.72,2049.29,2.45
st48263,29.18,1203.17,2.38
st48264,46.34,4925.94,2.78
st48265,18.99,497.26,3.84
st48266,29.58,1977.88,0.34
st48267,28.33,1115.5,0.34
st48268,40.4,3906.07,3.47
st48269,16.87,598.23,2.02
st48270,39.12,4072.2,3.03
st48271,13.35,218.67,4.06
st48272,22.66,489.18,2.38
st48273,40.9,3051.76,0.67
st48274,36.8,2711.54,0.95
st48275,18.52,603.69,1.69
st48276,38.15,2936.92,0.67
st48277,18.9,1032.15,5.74
st48278,42.71,2486.51,1.69
st48279,30.54,1359.41,3.02
st48280,39.84,2084.88,5.4
st48281,31.98,1546.12,2.36
st48282,36.3,2020.86,0.34
st48283,15.53,319.41,2.36
st48284,15.16,294.74,10.29
st48285,36.69,1283.79,0.34
st48286,42.47,2277.28,1.69
st48287,63.9,7790.77,1.22
st48288,21.33,1062.74,1.69
st48289,31.88,1292.89,3.77
st48290,43.13,2001.31,4.4
st48291,32.63,1422.41,12.26
st48292,26.23,818.38,2.57
st48293,46.51,5923.07,1.69
st48294,34.93,2439.21,1.43
st48295,33.05,2220.2,1.69
st48296,14.23,356.48,2.36
st48297,69.52,6975.01,1.07
st48298,8.77,318.84,7.04
st48299,22.62,997.24,2.57
st48300,15.38,401.17,1.72
st48301,32.06,1488.47,2.57
st48302,43.84,4156.12,1.69
st48303,34.82,2667.88,0.67
st48304,11.95,255.17,1.22
st48305,39.75,2174.49,1.22
st48306,52.67,3539.92,1.07
st48307,60.62,7184.12,1.07
st48308,20.78,1059.56,0.34
st48309,24.45,1051.37,0.34
st48310,56.77,4809.96,0.67
st48311,60.04,7271.68,1.91
st48312,24.8,993.83,0.34
st48313,25.64,987.35,2.63
st48314,16.98,588.45,19.45
st48315,22.42,662.14,0.95
st48316,14.48,265.74,19.97
st48317,26.75,1034.88,4.07
st48318,10.79,225.15,4.12
st48319,22.9,731.96,3.03
st48320,40.47,2427.49,0.95
st48321,13.44,261.53,11.48
st48322,50.05,3193.45,7.15
st48323,24.7,670.21,6.79
st48324,25.77,1215.11,1.69
st48325,46.77,3794.64,1.91
st48326,22.26,758.9,1.01
st48327,41.21,2875.74,1.07
st48328,17.06,384.8,5.89
st48329,28.96,1355.89,1.82
st48330,29.2,1179.63,1.39
st48331,15.16,231.63,6.15
st48332,42.27,2038.83,3.47
st48333,8.45,223.78,4.59
st48334,11.06,210.02,2.45
st48335,31.58,1227.05,1.69
st48336,51.44,6536.43,1.07
st48337,18.52,409.24,1.82
st48338,24.73,894.22,2.72
st48339,18.35,582.88,8.77
st48340,15.38,280.3,4.59
st48341,28.16,985.76,1.39
st48342,45.86,2699.49,1.69
st48343,56.7,3698.89,0.34
st48344,11.22,315.09,13.36
st48345,15.08,320.55,1.07
st48346,12.4,335.45,12.59
st48347,28.17,1108.68,8.77
st48348,48.88,3149.33,2.38
st48349,35.41,5067.17,1.22
st48350,22.93,700.23,1.07
st48351,18.16,557.18,0.34
st48352,13.03,652.81,5.76
st48353,22.33,899,0.67
st48354,22.9,825.65,1.91
st48355,26.85,972,3.02
st48356,37.12,1497,3.05
st48357,14.53,400.49,0.67
st48358,20.69,448.82,13.27
st48359,24.44,837.25,8.64
st48360,51.03,4862.38,1.69
st48361,49.98,5228.87,1.91
st48362,20.54,634.51,1.22
st48363,41.15,2366.43,3.05
st48364,11.6,406.52,4.06
st48365,29.63,865.11,11.53
st48366,21.88,945.73,5.06
st48367,27.68,1051.37,3.63
st48368,29.8,1172.24,1.22
st48369,28.63,1515.08,0.34
st48370,39.28,1993.69,2.26
st48371,32.43,1419.11,10.39
st48372,25.25,846.12,22.04
st48373,37.98,1548.17,2.57
st48374,33.05,1741.93,1.91
st48375,47.9,3910.62,1.69
st48376,37.41,1534.98,3.02
st48377,25.95,738.44,4.06
st48378,6.78,183.64,0.34
st48379,18.65,773.46,7.69
st48380,11.78,220.6,4.05
st48381,57.26,4072.2,1.35
st48382,13.76,546.49,0.34
st48383,23.07,726.04,4.54
st48384,31.61,1410.01,12.97
st48385,28.63,1667.79,3.11
st48386,16.21,282.57,1.22
st48387,53.99,2850.04,3.02
st48388,20.48,687.27,3.11
st48389,23.53,1039.54,1.91
st48390,26.85,1015.78,4.27
st48391,18.1,531.14,4.05
st48392,21.55,924.81,2.72
st48393,33.89,1698.38,7.79
st48394,58.19,5021.69,2.72
st48395,79.03,9436.73,2.02
st48396,74.1,9017.59,2.38
st48397,24.96,1689.17,0.34
st48398,47.88,2748.16,4.06
st48399,62.52,5514.96,0.34
st48400,27.53,1271.51,0.34
st48401,11.93,314.07,24.3
st48402,27.39,2272.62,0.34
st48403,13.49,296.67,0.34
st48404,21.33,705.57,1.91
st48405,56.4,3305.91,1.35
st48406,23.6,1189.3,18.36
st48407,72.44,5771.04,2.38
st48408,13.57,407.88,0.34
st48409,28.83,1773.89,2.7
st48410,25.63,761.86,2.7
st48411,9.54,268.36,2.57
st48412,18.52,492.94,2.57
st48413,41.14,7735.05,0.34
st48414,19.45,1199.42,0.34
st48415,12.6,317.14,0.34
st48416,72.88,6839.69,2.02
st48417,11.8,348.98,0.34
st48418,59.87,8516.47,1.35
st48419,27.45,2251.58,0.34
st48420,70.23,5198.05,1.69
st48421,18.21,547.52,0.34
st48422,76.14,6903.94,1.69
st48423,83.61,9442.3,1.69
st48424,8.09,269.72,6.44
st48425,30.94,2049.75,2.16
st48426,22.3,1945.25,0.34
st48427,52.88,3558.35,2.05
st48428,51.93,5834.94,2.88
st48429,9.54,473.26,4.73
st48430,20.51,487.02,3.11
st48431,51.63,5155.75,0.34
st48432,14.29,465.08,0.34
st48433,23.53,1359.64,0.34
st48434,41.75,2180.29,11.48
st48435,32.39,3499.78,0.34
st48436,37.41,1544.08,2.7
st48437,70.3,6517.21,2.16
st48438,68.2,18211.09,1.35
st48439,34.57,2270.57,0.34
st48440,22.61,700.34,2.88
st48441,33.48,2015.18,2.63
st48442,65.46,6034.17,0.34
st48443,9.44,417.77,11.48
st48444,26.3,2059.3,0.34
st48445,58.19,11333.19,0.34
st48446,48.19,2915.65,3.03
st48447,26.95,2357.56,0.34
st48448,32.37,1308.7,16.74
st48449,63.37,7649.42,0.34
st48450,83.85,7888.1,1.35
st48451,62.26,5386.47,3.34
st48452,14.73,244.82,3.02
st48453,20.63,922.65,0.34
st48454,17.06,637.8,0.34
st48455,10.66,220.83,0.34
st48456,15.08,261.08,3.02
st48457,13.76,311.34,0.34
st48458,65.78,9124.93,2.86
st48459,30.71,2179.04,2.86
st48460,80.55,22858.33,1.69
st48461,10.49,212.98,1.35
st48462,43.16,8223.32,0.34
st48463,16.66,723.54,0.34
st48464,18.16,787.1,0.34
st48465,29.96,1419.11,2.86
st48466,13.51,440.17,0.34
st48467,38.04,1631.29,4.27
st48468,11.31,272.11,0.34
st48469,58.83,5274.12,1.91
st48470,37.79,2314.69,0.34
st48471,67.78,6985.7,1.69
st48472,26.27,2997.98,0.34
st48473,10.87,219.46,4.5
st48474,22.27,719.45,1.69
st48475,64.33,8198.53,1.97
st48476,10.66,736.28,8.16
st48477,76.14,11803.5,2.02
st48478,26.44,2623.99,5.28
st48479,27.65,848.96,0.34
st48480,54.94,4943.91,2.36
st48481,26.02,1288.8,0.34
st48482,11.47,220.71,60.15
st48483,63,12268.35,2.02
st48484,25.06,3665.57,0.34
st48485,73.89,5934.78,1.35
st48486,64.41,4571.39,2.38
st48487,12.06,392.76,1.39
st48488,66.51,9691.67,1.51
st48489,16.24,704.32,3.65
st48490,51.93,7468.06,1.51
st48491,29,1324.05,2.57
st48492,65.47,7644.19,1.97
st48493,11.12,355.46,3.65
st48494,30.38,1349.86,5.14
st48495,42.08,3662.05,0.34
st48496,35.9,1630.72,0.34
st48497,59.7,7589.16,1.69
st48498,28.45,1053.53,3.02
st48499,7.42,211.62,6.92
st48500,10.9,198.88,8.51
st48501,58.02,16786.98,1.51
st48502,39.24,2613.87,0.34
st48503,25.85,1454.81,0.34
st48504,29.01,2194.84,0.34
st48505,60.05,4437.67,3.32
st48506,37.4,3629.64,2.16
st48507,16.42,333.29,0.34
st48508,17.17,549.34,2.86
st48509,62.43,5191.57,0.34
st48510,56.12,4189.55,3.02
st48511,36.42,1425.7,6.79
st48512,49.76,3285.44,1.51
st48513,15.16,250.62,1.69
st48514,42.65,1783.89,3.02
st48515,25.63,1425.82,0.34
st48516,35.3,1482.56,5.4
st48517,41.41,3558.69,1.35
st48518,70.18,9541.8,2.02
st48519,17.29,405.61,4.23
st48520,14.93,263.13,6.41
st48521,66.78,13940.35,1.39
st48522,25.63,1210.68,0.34
st48523,38.54,2569.18,3.11
st48524,15.38,341.59,6.95
st48525,53.83,4764.59,1.69
st48526,44.41,2684.48,1.69
st48527,41.14,4786.31,2.02
st48528,17.06,431.99,0.34
st48529,49.24,7225.06,0.34
st48530,13.64,241.29,9.78
st48531,12.54,586.18,0.34
st48532,59.67,4577.76,2.02
st48533,14.84,493.05,8.43
st48534,53.3,3249.17,2.38
st48535,56.12,5086.73,0.34
st48536,24.32,912.19,5.28
st48537,36.85,2349.03,0.34
st48538,65.34,13971.96,0.34
st48539,57.8,6834.69,1.35
st48540,35.29,2210.76,1.35
st48541,36.84,1285.84,2.13
st48542,35.61,2962.5,0.34
st48543,14.34,378.88,0.34
st48544,22.93,996.33,5.01
st48545,9.44,277.57,0.34
st48546,21.52,1277.77,0.34
st48547,55.59,6974.55,1.91
st48548,14.73,445.52,19.1
st48549,46.71,5575.57,1.35
st48550,72.35,6926.23,2.02
st48551,35.21,1805.16,1.69
st48552,44.51,2447.73,0.34
st48553,17.53,428.12,10.12
st48554,48.05,2725.64,2.7
st48555,58.81,4290.3,3.63
st48556,15.73,295.87,8.58
st48557,56.38,6952.95,1.97
st48558,54.36,6046.67,1.97
st48559,13.56,254.71,4.05
st48560,38.39,1894.42,3.03
st48561,24.18,560.37,46.49
st48562,48.88,2835.71,2.57
st48563,31.58,2940.67,5.73
st48564,16.3,402.65,29.11
st48565,33.94,2099.55,2.26
st48566,51.12,5732.83,1.35
st48567,41.32,4831.9,1.35
st48568,46.1,2395.31,4.7
st48569,59.73,5663.13,1.35
st48570,18.6,1154.28,12.88
st48571,42.66,2657.76,1.35
st48572,57.84,7756.65,1.51
st48573,20.12,769.37,0.34
st48574,26.72,1589.45,2.26
st48575,66.86,11188.78,1.35
st48576,59.21,3391.65,1.69
st48577,58.89,4741.62,2.13
st48578,48.56,13297.54,1.07
st48579,16.68,300.31,9.73
st48580,59.12,10365.17,1.97
st48581,43.44,2758.62,1.22
st48582,58.46,7091.33,1.69
st48583,37.7,2357.11,2.45
st48584,63.15,6851.63,2.02
st48585,74.5,5471.18,1.51
st48586,66.67,5056.14,1.97
st48587,36.57,1562.16,0.34
st48588,15.99,494.53,7.99
st48589,51.14,5325.18,3.02
st48590,43.13,2028.03,5.73
st48591,42.62,2845.15,1.91
st48592,38.54,6200.3,1.69
st48593,15.64,393.21,13.02
st48594,44.71,3349.57,0.34
st48595,44.13,2096.6,0.34
st48596,25.1,686.02,0.34
st48597,29.12,1412.74,0.34
st48598,29.95,2609.66,0.34
st48599,44.38,2277.28,7.42
st48600,25.95,2028.82,0.34
st48601,45.47,4618.81,5.06
st48602,28.4,1296.53,0.34
st48603,55.98,3362.76,2.7
st48604,18.75,442.9,0.34
st48605,37.2,4790.85,1.35
st48606,34.34,3296.47,0.34
st48607,22.02,828.84,1.35
st48608,27.52,1848.71,2.02
st48609,28.31,1096.4,6.07
st48610,14.85,594.02,1.82
st48611,23.9,555.14,2.16
st48612,24.28,1109.7,0.34
st48613,20.29,887.51,3.82
st48614,40.15,13064.89,2.43
st48615,31.07,2957.16,1.39
st48616,25.85,1120.39,5.53
st48617,36.47,1590.7,1.69
st48618,16.21,482.36,12.52
st48619,32.99,4111.21,3.37
st48620,39.52,1698.38,1.35
st48621,27.68,1287.43,1.82
st48622,21.43,677.6,2.02
st48623,17.51,674.08,0.34
st48624,26.75,1022.26,2.63
st48625,20.23,446.66,0.75
st48626,41.38,2243.96,3.05
st48627,29.58,1409.56,7.29
st48628,34.82,2040.54,0.75
st48629,24.44,1428.55,3.02
st48630,23.41,537.06,2.63
st48631,17.59,308.04,12.84
st48632,20.29,387.98,14.31
st48633,29.28,731.84,2.38
st48634,30.43,1429.68,0.95
st48635,30.16,1708.05,1.35
st48636,18.52,569.35,7.04
st48637,26.71,737.75,4.86
st48638,25.81,1006.22,4.44
st48639,29.28,1840.86,4.29
st48640,20.92,1287.77,6.51
st48641,30.16,1081.62,2.36
st48642,34.05,1179.75,14.33
st48643,20.21,988.37,0.34
st48644,25.64,570.83,16.44
st48645,43.22,2677.43,3.37
st48646,47.6,3871.85,5.73
st48647,26.52,739.57,4.38
st48648,58.25,3450.66,4.38
st48649,14.73,251.76,7.7
st48650,32.96,3019.47,3.37
st48651,17.82,334.88,2.13
st48652,37.57,1413.88,5.73
st48653,54.29,2787.05,2.13
st48654,28.65,981.78,9.2
st48655,11.95,347.39,0.34
st48656,36.42,1383.4,1.69
st48657,39.12,1456.86,12.37
st48658,19.7,641.21,6.44
st48659,12.16,397.19,7.08
st48660,13.3,207.07,3.58
st48661,23.26,1322.45,1.22
st48662,44.79,4635.98,1.22
st48663,19.09,1266.62,12.72
st48664,24.55,610.17,14.55
st48665,47.73,8229.35,2.7
st48666,32.62,1693.15,2.26
st48667,23.41,544.11,3.32
st48668,21.58,940.05,0.34
st48669,13.09,375.93,0.34
st48670,14.48,515.45,2.26
st48671,36.32,1651.99,3.32
st48672,39.52,2045.31,2.63
st48673,47.84,5203.62,1.72
st48674,15.39,275.75,9.38
st48675,30.08,2181.08,4.83
st48676,29.67,1772.29,0.34
st48677,20.91,1520.65,1.22
st48678,23.46,482.93,1.22
st48679,39.12,2678.91,13.56
st48680,42.89,1774.23,4.06
st48681,32.71,1475.96,2.7
st48682,31.58,1153.03,4.29
st48683,45.32,2916.79,1.72
st48684,30.12,1137.11,2.88
st48685,25.91,1077.41,1.97
st48686,39.12,1460.5,5.89
st48687,31.59,3231.54,3.72
st48688,45.02,2106.37,2.88
st48689,21.12,443.24,4.29
st48690,41.45,1541.35,4.29
st48691,20.23,876.59,2.7
st48692,41.34,1723.74,3.18
st48693,11.54,217.98,0.34
st48694,27.19,917.3,2.05
st48695,31.81,1309.04,0.34
st48696,12.81,353.3,0.34
st48697,31.67,2821.05,1.22
st48698,31.78,1777.3,2.05
st48699,29.05,1636.3,0.34
st48700,17.55,779.03,0.34
st48701,22.26,670.78,0.34
st48702,60.94,5756.03,1.51
st48703,44.58,3614.63,0.34
st48704,44.49,2889.61,1.69
st48705,35,3771.55,2.26
st48706,47.27,9955.7,0.34
st48707,28.65,1331.89,3.93
st48708,22.66,580.61,6.94
st48709,25.04,1365.1,1.69
st48710,33.87,1871.11,1.69
st48711,24.18,1387.38,1.22
st48712,33.87,1821.76,1.69
st48713,21.17,450.07,3.11
st48714,9.66,342.04,0.34
st48715,22.27,490.55,7.04
st48716,28.58,963.13,2.26
st48717,37.31,2269.78,2.13
st48718,57.44,3517.18,1.43
st48719,43.3,2511.64,1.82
st48720,50.36,8517.04,1.72
st48721,45.31,2000.74,1.72
st48722,24.44,829.75,5.06
st48723,20.24,416.52,6.27
st48724,51.88,2734.63,1.39
st48725,21.3,1286.98,1.69
st48726,30.68,950.62,1.82
st48727,29.13,4370.81,1.07
st48728,16.03,351.48,1.51
st48729,47.27,2368.02,1.97
st48730,58.33,7941.32,1.43
st48731,26.93,916.85,1.69
st48732,16.33,1003.84,0.34
st48733,38.15,1469.94,1.69
st48734,24.51,847.37,0.34
st48735,45.87,3154.67,2.63
st48736,19.31,389.8,2.45
st48737,13.49,193.31,5.01
st48738,17.65,297.47,1.39
st48739,45.43,2260.57,1.69
st48740,37.97,2168.69,1.39
st48741,23.6,925.26,0.34
st48742,53.83,4231.06,1.01
st48743,38.75,3986.69,1.91
st48744,18.88,694.77,0.34
st48745,34.97,4447.11,1.97
st48746,33.54,2191.32,1.35
st48747,41.21,3027.32,2.63
st48748,43.84,6690.96,1.69
st48749,21.59,722.06,1.07
st48750,34.45,3381.41,0.34
st48751,58.96,3856.61,4.68
st48752,17.86,281.21,2.38
st48753,22.42,618.47,6.07
st48754,25.91,888.08,7.4
st48755,28.87,1353.04,1.07
st48756,49.47,2744.06,1.82
st48757,51.26,5180.2,1.43
st48758,27.68,858.17,6.68
st48759,14.59,279.39,5.28
st48760,35.02,1702.25,1.01
st48761,20.12,608.01,9.41
st48762,16.9,315.55,2.13
st48763,34.76,1762.17,1.39
st48764,49.63,4559.68,0.34
st48765,37.57,3510.36,1.07
st48766,21.43,970.06,2.26
st48767,17.55,530.35,5.28
st48768,16.7,383.77,0.34
st48769,54.91,8085.62,0.95
st48770,40.49,3238.93,3.37
st48771,65.17,6568.49,3.11
st48772,48.02,3623.96,2.02
st48773,44.71,1893.85,1.97
st48774,50.44,6906.33,1.22
st48775,46.85,6856.63,1.01
st48776,37.73,1401.37,5.49
st48777,26.98,641.21,4.06
st48778,55.29,13903.28,1.39
st48779,35.71,2565.77,2.13
st48780,41.6,6921.56,7.49
st48781,39.12,2249.08,4.83
st48782,46.02,3922.9,4.83
st48783,49.51,6345.62,1.07
st48784,38.98,1568.52,1.69
st48785,26.85,724.34,1.43
st48786,15.73,381.04,1.97
st48787,51.63,4360,1.97
st48788,39.15,1783.78,2.26
st48789,52.67,6086.93,0.34
st48790,18.81,397.76,1.82
st48791,43.13,1872.02,1.43
st48792,18.41,1122.32,1.07
st48793,23.53,612.67,2.88
st48794,14.43,354.89,10.98
st48795,24.13,762.77,0.34
st48796,15.51,1118.57,0.34
st48797,16.7,403.1,0.34
st48798,42.87,3161.72,0.34
st48799,32.41,2437.27,0.34
st48800,37.54,1773.54,0.34
st48801,18.88,471.67,3.03
st48802,16.19,382.07,3.71
st48803,35.75,1245.47,6.44
st48804,10.79,249.14,0.34
st48805,43.73,3579.5,0.34
st48806,24.7,1287.2,0.34
st48807,26.31,1099.13,0.34
st48808,17.51,548.77,5.4
st48809,23.72,868.18,0.34
st48810,21.96,1166.56,3.52
st48811,14.53,459.85,0.34
st48812,36.15,1686.21,0.34
st48813,26.19,1148.93,0.34
st48814,39.15,4135.09,0.34
st48815,11.47,205.59,0.34
st48816,12.88,242.2,0.34
st48817,57.8,9562.38,0.34
st48818,11.47,364.44,1.39
st48819,13.49,592.66,5.98
st48820,41.23,2299.46,0.34
st48821,33.16,3849.9,0.34
st48822,21.68,746.17,3.63
st48823,40.12,4490.54,2.36
st48824,59.7,4892.97,0.34
st48825,11.47,326.8,1.01
st48826,68.78,13203.39,0.34
st48827,39.28,1685.99,2.63
st48828,33.29,3840.46,0.34
st48829,34.34,2600.11,0.34
st48830,11.78,299.4,0.34
st48831,45.64,2900.64,0.34
st48832,18.75,464.85,0.34
st48833,33.48,1400.12,0.34
st48834,25.81,1515.08,0.34
st48835,62.82,11342.06,0.34
st48836,37.09,1734.2,0.34
st48837,49.95,2552.12,0.34
st48838,58.76,7831.25,0.34
st48839,24.7,898.31,0.34
st48840,39.81,3962.13,0.34
st48841,54.23,6438.75,1.01
st48842,28.58,1156.1,0.34
st48843,16.9,741.28,0.34
st48844,69.62,11976.57,0.34
st48845,32.71,2239.3,0.34
st48846,17.19,732.98,0.34
st48847,25.42,1542.83,0.34
st48848,33.29,8435.39,0.34
st48849,48.94,3004.69,0.34
st48850,42.59,2516.64,0.34
st48851,37.77,1884.07,3.02
st48852,24.44,758.9,2.72
st48853,22.9,1075.13,0.34
st48854,58.33,4069.59,3.2
st48855,53.16,14137.64,0.34
st48856,61.89,4178.41,0.34
st48857,34.39,1579.78,1.39
st48858,52.68,4052.19,0.34
st48859,68.39,4975.41,1.39
st48860,10.12,257.44,0.34
st48861,12.16,194.22,1.01
st48862,80.48,14813.53,1.22
st48863,43.35,2348.81,2.36
st48864,42.49,4402.65,1.22
st48865,16.53,686.36,0.34
st48866,50.22,3815.33,0.34
st48867,15.26,280.3,0.34
st48868,76.02,14383.71,2.16
st48869,56.85,11291.57,1.69
st48870,53.33,6681.07,1.01
st48871,63.04,5663.58,2.05
st48872,14.16,735.25,0.34
st48873,55.67,8979.27,0.34
st48874,63.79,20176.81,0.34
st48875,25.71,733.66,4.32
st48876,48.57,4486.68,0.48
st48877,57.33,8705.11,0.34
st48878,56.28,4246.41,2.72
st48879,21.11,533.64,2.9
st48880,25.34,1759.56,2.16
st48881,36.47,1876.34,0.34
st48882,46.38,6922.81,0.34
st48883,41.98,1970.72,3.58
st48884,58.06,12500.2,0.34
st48885,21.59,921.17,3.52
st48886,63.93,4095.29,0.34
st48887,32.94,1875.2,0.34
