,glom_sizes,glom_diameters,glom_distance_to_closest_glom,glom_shape_circularity,glom_shape_eccentricity,glom_shape_elongation,glom_shape_solidity,glom_tuft_sizes,glom_tuft_shape_circularity,glom_tuft_shape_eccentricity,glom_tuft_shape_elongation,glom_tuft_shape_solidity,glom_bowman_sizes,glom_tufttocapsule_ratio
st54,4483.04,59.49,120.72,0.39,0.75,0.34,0.87,638.6,0.43,0.85,0.47,0.79,3844.44,0.142447981726685
st55,19092.01,136.28,85.22,0.39,0.38,0.08,0.91,10142.3,0.24,0.76,0.35,0.72,8949.71,0.531232698914363
st56,15261.78,95.18,203.82,0.2,0.71,0.29,0.81,3730.28,0.09,0.88,0.52,0.54,11531.5,0.244419720373377
st57,36265.03,199.28,203.82,0.81,0.49,0.13,0.98,31921.06,0.59,0.51,0.14,0.97,4343.97,0.880216009748234
st58,17806.4,128,435.91,0.8,0.65,0.24,0.98,15438.6,0.54,0.64,0.23,0.95,2367.8,0.867025339203882
st59,19798.95,135.76,87.14,0.7,0.57,0.18,0.95,16977.45,0.64,0.62,0.21,0.95,2821.5,0.857492442781057
st60,17994.93,128.49,87.14,0.66,0.6,0.2,0.95,15428.25,0.55,0.61,0.2,0.95,2566.68,0.85736649156179
st61,24665.87,162.99,146.34,0.78,0.41,0.09,0.98,15899.24,0.38,0.52,0.14,0.9,8766.63,0.644584602124312
st62,15079.27,119.18,33.73,0.71,0.52,0.15,0.97,12063.21,0.59,0.59,0.2,0.95,3016.06,0.799986338861231
st63,18442.49,129.56,200.62,0.7,0.55,0.17,0.95,16143.72,0.61,0.56,0.17,0.96,2298.77,0.875354683667986
st64,5217.04,68.01,222.06,0.35,0.52,0.14,0.89,2462.74,0.38,0.74,0.33,0.82,2754.3,0.472056951834757
st65,29253.53,169.71,54.56,0.76,0.6,0.2,0.97,23451.1,0.57,0.66,0.25,0.94,5802.42,0.801650262378592
st66,4351.48,31.7,210.76,0.17,0.98,0.82,0.84,2833.1,0.16,0.99,0.88,0.78,1518.38,0.65106584426448
st67,9312.21,85.5,54.56,0.54,0.69,0.28,0.94,7269.52,0.28,0.66,0.25,0.85,2042.7,0.780643907300201
st68,37332.21,182.95,45.07,0.4,0.58,0.18,0.94,23763.12,0.4,0.69,0.28,0.92,13569.08,0.636531295629163
st69,10731.21,98.83,45.07,0.43,0.64,0.23,0.91,6155.27,0.38,0.53,0.15,0.85,4575.94,0.573585830488827
st70,21884.28,144.33,322.65,0.79,0.67,0.26,0.98,16224.11,0.51,0.74,0.33,0.94,5660.17,0.741359094290514
st71,7398.69,80.54,322.65,0.52,0.64,0.23,0.95,2715.41,0.45,0.72,0.3,0.88,4683.28,0.367012268388052
st72,13064.66,114.65,349.31,0.81,0.51,0.14,0.98,10611.47,0.63,0.5,0.13,0.95,2453.19,0.812227030783809
st73,5721.92,49.91,519.17,0.25,0.88,0.53,0.81,3604.06,0.44,0.9,0.55,0.91,2117.86,0.62986899502265
st74,22673.09,140.43,375.28,0.58,0.68,0.26,0.95,16671.79,0.24,0.7,0.29,0.89,6001.3,0.735311772678537
st75,25441.04,151.92,183.54,0.77,0.65,0.24,0.97,20475.86,0.32,0.68,0.27,0.92,4965.17,0.804835808599019
st76,23456.45,152.59,367.86,0.67,0.45,0.11,0.96,19476.46,0.42,0.49,0.13,0.93,3979.98,0.830324281807349
st77,18082.03,128.96,324.56,0.67,0.63,0.23,0.95,12508.16,0.27,0.71,0.29,0.9,5573.87,0.691745340539751
st78,18474.79,137.52,42.22,0.76,0.55,0.16,0.96,13898.5,0.36,0.44,0.1,0.91,4576.28,0.75229542527953
st79,43602.32,153.8,121.99,0.2,0.94,0.67,0.78,27146.36,0.19,0.96,0.72,0.69,16455.97,0.622589807147877
