Gene ID,Expression pattern,Fitted function,adjusted P-value,R-squared,mod_rsquared_adj,Terminal_logFC,Transient_logFC,Switching_time,area,cluster
NCKAP5L,linear up,linear,1.05260783156818E-32,-0.06,0.47,0.2,0,0.48,2.25,5
SLIT3,linear down quadratic up,linear_quadratic,0.000367448603285,-0.06,0.48,0.17,-0.22,0.83,33.9,3
ARHGAP44,linear down,linear,0.001683893989239,-0.06,0.47,-0.21,0,0.54,4.07,2
GNG12,linear down,linear,4.24882486875673E-29,-0.06,0.47,-0.2,0,0.52,1.61,2
DOCK6,linear down,linear,0.000165427571316,-0.06,0.47,-0.19,-0.01,0.46,3.5,2
ARSG,linear up quadratic down,linear_quadratic,1.69193796492942E-21,-0.06,0.47,-0.09,1.12,0.93,52.97,1
RFX3,linear up quadratic down,linear_quadratic,1.13896341161831E-10,-0.06,0.47,-0.13,0.77,0.9,47.44,1
ICA1L,linear up,linear,1.79638139071766E-17,-0.06,0.47,0.21,0,0.51,0.91,5
SLC4A7,linear down,linear,0.002511923114169,-0.06,0.47,-0.21,0,0.5,0.07,2
TKT,linear down quadratic up,linear_quadratic,1.05042949751965E-13,-0.06,0.48,-0.02,-2.07,0.03,66.99,4
TMBIM4,linear up quadratic down,linear_quadratic,0.005278857412862,-0.06,0.47,-0.14,0.56,0.88,42.54,1
GOT2,linear up quadratic down,linear_quadratic,2.74826712738688E-13,-0.06,0.47,-0.11,0.9,0.91,49.53,1
PTGFRN,linear up,linear,2.43158214427543E-07,-0.06,0.47,0.2,0.04,0.45,6.6,5
CHFR,linear up,linear,3.02624949122281E-20,-0.06,0.47,0.21,0,0.48,2.18,5
MIR4435-2HG,linear down,linear,5.73440187776081E-12,-0.06,0.47,-0.2,0,0.51,0.54,2
SMARCA4,linear up,linear,3.95489374501758E-22,-0.06,0.47,0.22,0,0.49,1.09,5
NMNAT1,quadratic up,quadratic,1.40963594401572E-16,-0.06,0.47,0.22,0,0.64,14.81,5
PTPN2,linear up quadratic down,linear_quadratic,0.007410195960183,-0.06,0.47,-0.15,0.44,0.86,38.78,1
ENTPD6,linear up,linear,1.73538904494969E-19,-0.06,0.47,0.21,0,0.47,3,5
FOSL2,linear up quadratic down,linear_quadratic,0.005002846411351,-0.06,0.47,-0.14,0.67,0.89,45.94,1
KDM5B,linear down,linear,0.002204421641442,-0.06,0.47,-0.2,-0.01,0.51,1.04,2
ATP5MD,linear up quadratic down,linear_quadratic,1.55017714022799E-14,-0.06,0.47,-0.12,0.87,0.91,49.13,1
COG3,linear down,linear,0.002505602596925,-0.06,0.47,-0.21,0,0.53,2.57,2
SIRT2,linear up quadratic down,linear_quadratic,1.56089702935635E-22,-0.06,0.47,-0.11,0.9,0.91,49.69,1
SLC30A10,linear down,linear,1.22394883750744E-111,-0.06,0.47,-0.2,0,0.48,1.56,2
SLC25A42,linear up,linear,4.07259801977045E-34,-0.06,0.47,0.21,0,0.49,0.78,5
PPP1CC,linear up quadratic down,linear_quadratic,1.45979431730596E-15,-0.06,0.47,-0.11,0.92,0.91,50.03,1
C9orf72,linear up quadratic down,linear_quadratic,2.52060048762263E-17,-0.06,0.47,-0.18,0.11,0.79,28.09,1
ZNF552,linear up quadratic down,linear_quadratic,1.27669028386608E-96,-0.06,0.47,-0.04,1.69,0.97,58.99,6
KCTD9,linear down,linear,0.005463205037256,-0.06,0.47,-0.2,0,0.51,1.22,2
DENND6A-AS1,linear up quadratic down,linear_quadratic,0.001320583258963,-0.06,0.47,-0.16,0.41,0.86,39.59,1
NUP42,linear up quadratic down,linear_quadratic,2.06571715817338E-11,-0.06,0.47,-0.12,0.79,0.9,47.9,1
KY,linear down,linear,2.5470710513028E-62,-0.06,0.47,-0.2,0,0.5,0.43,2
ESR2,linear up quadratic down,linear_quadratic,0.000632102168055,-0.06,0.47,-0.13,0.72,0.89,46.4,1
TPT1,linear up quadratic down,linear_quadratic,4.85160341972636E-11,-0.06,0.47,-0.12,0.82,0.91,48.38,1
ASB10,linear up,linear,1.03960803906416E-11,-0.06,0.47,0.21,0,0.48,1.88,5
SEMA6A-AS1,linear up quadratic down,linear_quadratic,2.84606772448634E-09,-0.06,0.47,-0.17,0.21,0.82,33.12,1
SH2B3,linear up quadratic down,linear_quadratic,3.08912088506361E-97,-0.06,0.47,0.04,1.67,0.03,59,6
PRKCI,linear up quadratic down,linear_quadratic,0.00015590324313,-0.06,0.47,-0.13,0.66,0.89,44.94,1
MSL2,linear up,linear,1.44408125559931E-22,-0.06,0.47,0.22,0,0.51,1.19,5
AC026689.1,linear up quadratic down,linear_quadratic,2.69593934706188E-57,-0.06,0.47,-0.08,1.28,0.94,55.33,6
TRIOBP,linear up,linear,1.29889925893138E-23,-0.06,0.47,0.2,0,0.48,2.37,5
PSMD7,linear up quadratic down,linear_quadratic,5.17918067670983E-10,-0.06,0.47,-0.12,0.77,0.9,47.15,1
VPS41,linear down,linear,0.00238928986209,-0.06,0.47,-0.2,0,0.52,2.26,2
SLC30A5,linear up quadratic down,linear_quadratic,2.3746850631588E-22,-0.06,0.47,-0.1,1.08,0.92,52.39,1
CCDC69,linear up quadratic down,linear_quadratic,0.000580519972567,-0.06,0.47,-0.14,0.62,0.89,44.25,1
VSIG10,linear up quadratic down,linear_quadratic,5.95560992135538E-05,-0.06,0.47,-0.14,0.53,0.86,40.01,1
PSMC6,linear up quadratic down,linear_quadratic,1.0969342253701E-08,-0.06,0.47,-0.12,0.77,0.9,46.42,1
AC008731.1,linear up quadratic down,linear_quadratic,7.33936042009274E-12,-0.06,0.47,-0.12,0.82,0.9,48.21,1
ALDH2,quadratic down,quadratic,0.00170878171653,-0.06,0.47,-0.18,0,0.62,10.68,1
FYTTD1,linear up,linear,8.82937074718709E-20,-0.06,0.47,0.2,0,0.46,3.6,5
KIAA0556,linear up,linear,4.62482130446197E-72,-0.06,0.47,0.21,0,0.49,0.52,5
POLR3B,linear down,linear,1.33927949124713E-21,-0.06,0.47,-0.2,0,0.5,0.16,2
AC011092.2,linear up quadratic down,linear_quadratic,1.24169887032707E-10,-0.06,0.47,-0.12,0.78,0.9,47.57,1
ACOX3,linear up quadratic down,linear_quadratic,6.94448472717977E-13,-0.06,0.47,-0.13,0.76,0.9,47.1,1
NBR1,linear up,linear,1.84636419154577E-14,-0.06,0.47,0.22,0,0.52,2.68,5
DPM1,linear up quadratic down,linear_quadratic,1.05214782420961E-07,-0.06,0.47,-0.12,0.81,0.9,46.84,1
ZNF714,linear down quadratic up,linear_quadratic,3.45295577675716E-36,-0.06,0.47,-0.06,-1.5,0.05,58.73,4
CYB5R3,linear up quadratic down,linear_quadratic,2.12534996594464E-21,-0.06,0.47,-0.11,0.92,0.91,49.71,1
HULC,linear down,linear,0.000265497263556,-0.06,0.47,-0.21,0,0.52,1.55,2
UQCC2,linear up quadratic down,linear_quadratic,2.5018523555154E-21,-0.06,0.47,-0.19,0.04,0.75,23.64,1
YES1,linear up quadratic down,linear_quadratic,4.5215053248224E-07,-0.06,0.47,-0.12,0.79,0.9,47.58,1
NMNAT3,linear up quadratic down,linear_quadratic,1.34315443038883E-05,-0.06,0.47,-0.17,0.27,0.83,34.55,1
DGCR2,linear up quadratic down,linear_quadratic,1.86817915642616E-16,-0.06,0.47,-0.11,0.97,0.92,50.67,1
HSF2,linear down,linear,1.13420134628431E-38,-0.06,0.47,-0.2,0,0.5,0.23,2
ZNHIT6,quadratic down,quadratic,3.42925954440183E-09,-0.06,0.47,-0.2,0,0.64,13.53,1
MARK4,linear up,linear,8.06842696690994E-26,-0.06,0.47,0.21,0,0.51,0.66,5
ZNF551,linear up quadratic down,linear_quadratic,8.51091429371176E-25,-0.06,0.47,-0.08,1.2,0.94,54.04,1
SKP1,linear up,linear,4.1907640547734E-09,-0.06,0.47,0.22,0,0.5,0.44,5
CANX,linear up,linear,2.07331224161038E-33,-0.06,0.47,0.21,0,0.5,0.46,5
AC106793.1,linear down quadratic up,linear_quadratic,1.18944062333972E-10,-0.07,0.47,0.04,-1.62,0.97,57.38,4
SLC9C1,linear up quadratic down,linear_quadratic,5.79381415533576E-10,-0.07,0.47,-0.18,0.09,0.78,27.14,1
CENPP,linear down quadratic up,linear_quadratic,2.20668983383639E-22,-0.07,0.47,-0.19,-0.07,0.25,24.92,2
IRX3,linear up,linear,5.00294984063443E-21,-0.07,0.47,0.21,0,0.5,0.3,5
DPY19L1,quadratic down,quadratic,1.05999495616357E-27,-0.07,0.47,-0.2,0,0.65,14.02,1
ZFAND5,linear up quadratic down,linear_quadratic,1.13610549827099E-15,-0.07,0.47,-0.12,0.79,0.9,46.38,1
UBL3,linear down,linear,2.87529332381546E-06,-0.07,0.47,-0.21,0,0.51,1.08,2
FAM204A,linear up quadratic down,linear_quadratic,1.46227342131373E-10,-0.07,0.47,-0.18,0.14,0.8,29.81,1
RRAGD,linear up quadratic down,linear_quadratic,1.06692430145233E-15,-0.07,0.47,-0.12,0.8,0.9,47.82,1
JPH1,linear up quadratic down,linear_quadratic,2.93347733088689E-09,-0.07,0.47,-0.17,0.27,0.83,35.24,1
ZNF516,linear up quadratic down,linear_quadratic,3.4728842926551E-05,-0.07,0.47,-0.12,0.87,0.91,49.31,1
RHOT2,quadratic up,quadratic,1.88553026225354E-84,-0.07,0.47,0.2,0,0.64,13.84,5
LMBR1L,linear up quadratic down,linear_quadratic,6.65509253377055E-29,-0.07,0.47,-0.08,1.2,0.94,54.13,1
VPS35,linear up quadratic down,linear_quadratic,2.21153128932528E-07,-0.07,0.47,-0.11,0.86,0.91,48.2,1
AC100803.4,linear down quadratic up,linear_quadratic,5.15524226909554E-28,-0.07,0.47,-0.07,-1.35,0.05,56.6,4
DNAJC5,quadratic up,quadratic,3.0234501560295E-60,-0.07,0.47,0.21,0,0.65,15.06,5
SRP54,linear up quadratic down,linear_quadratic,3.41090822707709E-05,-0.07,0.47,-0.13,0.68,0.89,44.85,1
CDC42,linear up quadratic down,linear_quadratic,0.002055725277401,-0.07,0.47,-0.14,0.56,0.87,42.34,1
AP4E1,quadratic down,quadratic,0.011014947794811,-0.07,0.47,-0.18,-0.01,0.64,11.61,1
LNX2,linear up quadratic down,linear_quadratic,1.74493186830221E-06,-0.07,0.47,-0.16,0.31,0.84,36.06,1
KCNK1,linear down,linear,5.94480397074272E-05,-0.07,0.47,-0.22,0,0.48,1.98,2
LINC01936,linear up quadratic down,linear_quadratic,0.001585178727709,-0.07,0.47,-0.13,0.72,0.9,46.57,1
RTF1,linear up quadratic down,linear_quadratic,6.29643385395987E-12,-0.07,0.47,-0.12,0.82,0.9,47.72,1
MAP1B,quadratic up,quadratic,7.83243397395323E-31,-0.07,0.47,0.2,0,0.61,11.04,5
LINC00476,quadratic down,quadratic,0.001151596458963,-0.07,0.47,-0.2,0,0.65,13.66,1
PHLPP1,linear down,linear,9.2210955752205E-08,-0.07,0.47,-0.21,0,0.52,1.84,2
CD302,linear up quadratic down,linear_quadratic,1.52767414803066E-13,-0.07,0.47,-0.12,0.88,0.91,49.41,1
EOGT,linear up quadratic down,linear_quadratic,2.47686888198568E-95,-0.07,0.47,0.11,0.95,0.08,50.84,6
SLC38A7,linear up,linear,6.18873230211935E-22,-0.07,0.47,0.21,0,0.48,1.92,5
