,tubule_diameters,tubule_sizes,tubule_distance_to_closest_instance,sampleID,Time_score
187,44.94,3857.75,4.23,VALIGA_mhnhhiaij6,591
188,35.99,1345.42,2.57,VALIGA_mhnhhiaij6,591
189,13.49,199.45,32.2,VALIGA_mhnhhiaij6,591
190,12.6,205.59,20.24,VALIGA_mhnhhiaij6,591
191,50.02,4292.57,0.48,VALIGA_mhnhhiaij6,591
192,38.25,2313.1,0.34,VALIGA_mhnhhiaij6,591
193,50.77,4079.94,2.13,VALIGA_mhnhhiaij6,591
194,63.91,10380.18,0.48,VALIGA_mhnhhiaij6,591
195,79.65,6476.16,2.26,VALIGA_mhnhhiaij6,591
196,22.93,905.7,1.39,VALIGA_mhnhhiaij6,591
197,26.3,1212.15,5.4,VALIGA_mhnhhiaij6,591
198,18.22,1090.37,10.92,VALIGA_mhnhhiaij6,591
199,31.7,1415.36,12.44,VALIGA_mhnhhiaij6,591
200,74.55,19589.26,1.07,VALIGA_mhnhhiaij6,591
201,30.5,845.55,3.02,VALIGA_mhnhhiaij6,591
202,29.28,2571.79,5.44,VALIGA_mhnhhiaij6,591
203,23.9,753.45,9.71,VALIGA_mhnhhiaij6,591
204,40.83,2850.5,1.39,VALIGA_mhnhhiaij6,591
205,15.16,252.21,3.05,VALIGA_mhnhhiaij6,591
206,40.0,2724.39,6.68,VALIGA_mhnhhiaij6,591
207,47.05,2645.14,1.72,VALIGA_mhnhhiaij6,591
208,39.47,1869.74,1.51,VALIGA_mhnhhiaij6,591
209,16.09,247.21,11.63,VALIGA_mhnhhiaij6,591
210,23.76,560.48,3.02,VALIGA_mhnhhiaij6,591
211,38.45,2391.33,2.63,VALIGA_mhnhhiaij6,591
212,16.24,559.23,12.88,VALIGA_mhnhhiaij6,591
213,40.96,1597.29,4.38,VALIGA_mhnhhiaij6,591
214,59.86,5133.46,1.35,VALIGA_mhnhhiaij6,591
215,30.5,2013.13,5.4,VALIGA_mhnhhiaij6,591
216,52.78,9703.38,1.07,VALIGA_mhnhhiaij6,591
217,81.03,8580.15,1.43,VALIGA_mhnhhiaij6,591
218,47.9,2785.23,1.35,VALIGA_mhnhhiaij6,591
219,51.42,2868.92,2.36,VALIGA_mhnhhiaij6,591
220,22.93,588.34,4.32,VALIGA_mhnhhiaij6,591
221,46.82,4113.59,0.34,VALIGA_mhnhhiaij6,591
222,12.6,281.55,27.3,VALIGA_mhnhhiaij6,591
223,19.08,359.67,2.38,VALIGA_mhnhhiaij6,591
224,20.56,505.44,7.45,VALIGA_mhnhhiaij6,591
225,22.02,1057.39,31.97,VALIGA_mhnhhiaij6,591
226,42.01,4454.04,1.69,VALIGA_mhnhhiaij6,591
227,31.98,927.88,2.38,VALIGA_mhnhhiaij6,591
228,30.71,1891.8,1.51,VALIGA_mhnhhiaij6,591
229,14.43,230.49,12.88,VALIGA_mhnhhiaij6,591
230,16.59,385.82,15.91,VALIGA_mhnhhiaij6,591
231,33.6,1218.18,2.16,VALIGA_mhnhhiaij6,591
232,28.33,2113.31,4.4,VALIGA_mhnhhiaij6,591
233,59.43,3968.73,1.72,VALIGA_mhnhhiaij6,591
234,61.33,5836.2,1.39,VALIGA_mhnhhiaij6,591
235,39.88,4197.4,3.93,VALIGA_mhnhhiaij6,591
236,33.18,1456.41,4.4,VALIGA_mhnhhiaij6,591
237,27.65,1264.69,2.63,VALIGA_mhnhhiaij6,591
238,32.91,2455.35,3.11,VALIGA_mhnhhiaij6,591
239,16.98,420.27,41.08,VALIGA_mhnhhiaij6,591
240,28.61,973.14,8.09,VALIGA_mhnhhiaij6,591
241,35.07,1899.88,1.72,VALIGA_mhnhhiaij6,591
242,27.81,932.77,3.63,VALIGA_mhnhhiaij6,591
243,52.47,4007.84,3.02,VALIGA_mhnhhiaij6,591
244,24.1,2061.91,1.07,VALIGA_mhnhhiaij6,591
245,18.1,347.04,6.72,VALIGA_mhnhhiaij6,591
246,13.66,176.71,1.39,VALIGA_mhnhhiaij6,591
247,36.22,1980.95,6.51,VALIGA_mhnhhiaij6,591
248,35.3,2518.58,4.17,VALIGA_mhnhhiaij6,591
249,52.19,5493.13,0.34,VALIGA_mhnhhiaij6,591
250,30.05,2259.43,2.63,VALIGA_mhnhhiaij6,591
251,33.72,2184.15,1.91,VALIGA_mhnhhiaij6,591
252,53.69,5202.71,1.07,VALIGA_mhnhhiaij6,591
253,22.02,453.48,4.68,VALIGA_mhnhhiaij6,591
254,14.23,276.77,1.35,VALIGA_mhnhhiaij6,591
255,24.88,683.4,3.63,VALIGA_mhnhhiaij6,591
256,24.44,1806.18,1.43,VALIGA_mhnhhiaij6,591
257,68.47,12764.92,1.22,VALIGA_mhnhhiaij6,591
258,35.33,1217.04,11.01,VALIGA_mhnhhiaij6,591
259,30.59,1189.98,5.72,VALIGA_mhnhhiaij6,591
260,12.97,372.86,2.72,VALIGA_mhnhhiaij6,591
261,29.68,2068.85,4.17,VALIGA_mhnhhiaij6,591
262,33.18,2008.36,3.44,VALIGA_mhnhhiaij6,591
263,52.46,2872.67,2.38,VALIGA_mhnhhiaij6,591
264,20.64,639.96,1.35,VALIGA_mhnhhiaij6,591
265,54.06,5653.01,1.43,VALIGA_mhnhhiaij6,591
266,62.0,6089.66,1.22,VALIGA_mhnhhiaij6,591
267,58.99,4053.67,1.43,VALIGA_mhnhhiaij6,591
268,33.83,1484.72,2.63,VALIGA_mhnhhiaij6,591
269,38.18,2094.78,3.93,VALIGA_mhnhhiaij6,591
270,28.18,863.4,11.47,VALIGA_mhnhhiaij6,591
271,16.91,307.59,5.4,VALIGA_mhnhhiaij6,591
272,22.82,518.07,2.38,VALIGA_mhnhhiaij6,591
273,61.49,5683.48,1.51,VALIGA_mhnhhiaij6,591
274,44.64,2061.57,1.01,VALIGA_mhnhhiaij6,591
275,68.38,7411.88,1.43,VALIGA_mhnhhiaij6,591
276,31.38,1116.64,12.01,VALIGA_mhnhhiaij6,591
277,48.61,2836.97,0.34,VALIGA_mhnhhiaij6,591
278,38.35,1948.09,1.51,VALIGA_mhnhhiaij6,591
279,52.68,4045.94,1.51,VALIGA_mhnhhiaij6,591
280,20.95,583.9,9.47,VALIGA_mhnhhiaij6,591
281,41.28,3866.39,2.72,VALIGA_mhnhhiaij6,591
282,17.51,473.49,2.38,VALIGA_mhnhhiaij6,591
283,22.42,547.86,31.02,VALIGA_mhnhhiaij6,591
284,28.16,1876.45,0.34,VALIGA_mhnhhiaij6,591
285,14.23,175.23,3.37,VALIGA_mhnhhiaij6,591
286,82.98,6416.01,1.91,VALIGA_mhnhhiaij6,591
287,26.03,667.59,12.35,VALIGA_mhnhhiaij6,591
